id,city_name,seq_num,weather_description,temperature,atmospheric_pressure,humidity,wind_speed,clouds,rain,current_luminosity,sunrise,sunset,creation_date
133601,Braga,1,"algumas nuvens",8,1019,93,1,12,NULL,DARK,"2019-01-15 07:57:45.000000","2019-01-15 17:29:12.000000","2019-01-15 19:05:00.000000"
133641,Braga,1,"algumas nuvens",9,1020,93,1,20,NULL,DARK,"2019-01-15 07:57:44.000000","2019-01-15 17:29:15.000000","2019-01-15 20:04:59.000000"
133681,Braga,1,"nuvens quebrados",10,1020,87,2,75,NULL,DARK,"2019-01-15 07:57:43.000000","2019-01-15 17:29:18.000000","2019-01-15 21:04:58.000000"
133721,Braga,1,"nuvens quebrados",9,1020,93,3,75,NULL,DARK,"2019-01-15 07:57:42.000000","2019-01-15 17:29:21.000000","2019-01-15 22:04:58.000000"
133761,Braga,1,"nuvens quebrados",10,1020,93,4,75,NULL,DARK,"2019-01-15 07:57:40.000000","2019-01-15 17:29:24.000000","2019-01-15 23:04:58.000000"
133801,Braga,1,"nuvens quebrados",10,1020,87,4,75,NULL,DARK,"2019-01-16 07:57:39.000000","2019-01-16 17:29:26.000000","2019-01-16 00:04:59.000000"
133841,Braga,1,"nuvens quebrados",10,1020,87,3,75,NULL,DARK,"2019-01-16 07:57:38.000000","2019-01-16 17:29:29.000000","2019-01-16 01:04:58.000000"
133881,Braga,1,"nuvens quebrados",10,1019,87,3,75,NULL,DARK,"2019-01-16 07:57:37.000000","2019-01-16 17:29:32.000000","2019-01-16 02:04:58.000000"
133921,Braga,1,"nuvens quebrados",9,1019,93,4,75,NULL,DARK,"2019-01-16 07:57:36.000000","2019-01-16 17:29:35.000000","2019-01-16 03:04:58.000000"
133961,Braga,1,"nuvens quebrados",9,1019,87,3,75,NULL,DARK,"2019-01-16 07:57:35.000000","2019-01-16 17:29:38.000000","2019-01-16 04:04:58.000000"
134001,Braga,1,"nuvens quebrados",9,1018,87,3,75,NULL,DARK,"2019-01-16 07:57:32.000000","2019-01-16 17:29:44.000000","2019-01-16 06:04:59.000000"
134041,Braga,1,"nuvens quebrados",10,1019,93,2,75,NULL,LIGHT,"2019-01-16 07:57:25.000000","2019-01-16 17:30:01.000000","2019-01-16 12:04:58.000000"
134081,Braga,1,"nuvens quebrados",11,1018,87,2,75,NULL,LIGHT,"2019-01-16 07:57:24.000000","2019-01-16 17:30:04.000000","2019-01-16 13:05:00.000000"
134121,Braga,1,névoa,11,1018,87,2,75,NULL,LIGHT,"2019-01-16 07:57:23.000000","2019-01-16 17:30:07.000000","2019-01-16 14:04:59.000000"
134161,Braga,1,"nuvens quebrados",11,1018,93,3,75,NULL,LIGHT,"2019-01-16 07:57:22.000000","2019-01-16 17:30:10.000000","2019-01-16 15:05:00.000000"
134201,Braga,1,névoa,11,1018,93,2,75,NULL,LIGHT,"2019-01-16 07:57:20.000000","2019-01-16 17:30:13.000000","2019-01-16 16:04:59.000000"
134241,Braga,1,"chuva leve",11,1018,93,1,75,"chuva leve",LOW_LIGHT,"2019-01-16 07:57:19.000000","2019-01-16 17:30:16.000000","2019-01-16 17:04:59.000000"
134281,Braga,1,"chuva leve",11,1018,100,1,75,"chuva leve",DARK,"2019-01-16 07:57:18.000000","2019-01-16 17:30:19.000000","2019-01-16 18:04:59.000000"
134321,Braga,1,"nuvens quebrados",10,1019,100,2,75,NULL,DARK,"2019-01-16 07:57:17.000000","2019-01-16 17:30:22.000000","2019-01-16 19:04:59.000000"
134361,Braga,1,névoa,10,1019,100,2,75,NULL,DARK,"2019-01-16 07:57:15.000000","2019-01-16 17:30:25.000000","2019-01-16 20:04:58.000000"
134401,Braga,1,neblina,9,1019,100,0,40,NULL,DARK,"2019-01-16 07:57:14.000000","2019-01-16 17:30:27.000000","2019-01-16 21:04:59.000000"
134441,Braga,1,neblina,7,1020,100,0,40,NULL,DARK,"2019-01-16 07:57:13.000000","2019-01-16 17:30:30.000000","2019-01-16 22:04:58.000000"
134481,Braga,1,névoa,8,1020,100,1,40,NULL,DARK,"2019-01-16 07:57:12.000000","2019-01-16 17:30:33.000000","2019-01-16 23:04:58.000000"
134521,Braga,1,neblina,7,1020,100,1,75,NULL,DARK,"2019-01-17 07:57:11.000000","2019-01-17 17:30:36.000000","2019-01-17 00:04:59.000000"
134561,Braga,1,neblina,6,1020,100,1,75,NULL,DARK,"2019-01-17 07:57:09.000000","2019-01-17 17:30:39.000000","2019-01-17 01:04:58.000000"
134601,Braga,1,neblina,7,1020,100,1,40,NULL,DARK,"2019-01-17 07:57:08.000000","2019-01-17 17:30:42.000000","2019-01-17 02:04:58.000000"
134641,Braga,1,neblina,7,1020,100,1,75,NULL,DARK,"2019-01-17 07:57:07.000000","2019-01-17 17:30:45.000000","2019-01-17 03:04:58.000000"
134681,Braga,1,neblina,6,1020,100,1,40,NULL,DARK,"2019-01-17 07:57:06.000000","2019-01-17 17:30:48.000000","2019-01-17 04:04:59.000000"
134721,Braga,1,névoa,7,1020,100,0,40,NULL,DARK,"2019-01-17 07:57:04.000000","2019-01-17 17:30:51.000000","2019-01-17 05:04:58.000000"
134761,Braga,1,neblina,4,1020,100,1,20,NULL,DARK,"2019-01-17 07:57:03.000000","2019-01-17 17:30:54.000000","2019-01-17 06:05:02.000000"
134801,Braga,1,névoa,4,1021,100,2,20,NULL,DARK,"2019-01-17 07:57:02.000000","2019-01-17 17:30:57.000000","2019-01-17 07:04:59.000000"
