"row ID","Day of month","Month (number)","criteria_final","criteria_ozone","criteria_nitrogen_dioxide","criteria_particulate","criteria_ultraviolet","criteria_average_speed_diff","count_incidents","criteria_incidents","Mean(speed_diff)","Mean(temperature)","Mean(criteria_weather)","Mean(humidity)","criteria_pollution","criteria_final_incidents","criteria_speed_diff","criteria_final_weather"
"15/1",15,1,1,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_muito_baixo","risco_muito_baixo",18,"risco_moderado",3,9,0,92,1,4,1,3
"16/1",16,1,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_muito_baixo","risco_baixo",151,"risco_moderado",5,10,0,93,1,5,2,2
"17/1",17,1,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_muito_baixo","risco_muito_baixo",178,"risco_moderado",4,8,0,84,1,5,1,2
"18/1",18,1,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_muito_baixo","risco_baixo",166,"risco_moderado",5,6,0,91,1,5,2,3
"19/1",19,1,1,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_muito_baixo","risco_muito_baixo",18,"risco_moderado",3,11,0,96,1,4,1,2
"20/1",20,1,1,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_muito_baixo","risco_muito_baixo",14,"risco_moderado",2,10,0,80,1,4,1,2
"21/1",21,1,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_muito_baixo","risco_baixo",191,"risco_moderado",5,8,0,83,1,5,2,2
"22/1",22,1,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_muito_baixo","risco_baixo",347,"risco_moderado",6,10,0,89,1,5,2,2
"23/1",23,1,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_muito_baixo","risco_baixo",191,"risco_moderado",5,13,1,90,1,5,2,3
"24/1",24,1,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_muito_baixo","risco_baixo",137,"risco_moderado",5,13,0,90,1,5,2,2
"25/1",25,1,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_muito_baixo","risco_baixo",161,"risco_moderado",6,10,0,87,1,5,2,2
"26/1",26,1,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_muito_baixo","risco_muito_baixo",191,"risco_moderado",4,10,0,85,1,5,1,2
"27/1",27,1,1,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_muito_baixo","risco_muito_baixo",22,"risco_moderado",2,10,0,81,1,4,1,2
