Index,Day of month,Month (number),criteria_final,criteria_ozone,criteria_nitrogen_dioxide,criteria_particulate,criteria_ultraviolet,criteria_average_speed_diff,count_incidents,criteria_incidents,Mean(speed_diff),Mean(temperature),Mean(criteria_weather),Mean(humidity),criteria_pollution,criteria_final_incidents,criteria_speed_diff,criteria_final_weather
15/1,15,1,1,0,0,0,0,0,18,0,3,9,0,92,1,4,1,3
16/1,16,1,2,0,0,0,0,1,151,0,5,10,0,93,1,5,2,2
17/1,17,1,2,0,0,0,0,0,178,0,4,8,0,84,1,5,1,2
18/1,18,1,2,0,0,0,0,1,166,0,5,6,0,91,1,5,2,3
19/1,19,1,1,0,0,0,0,0,18,0,3,11,0,96,1,4,1,2
20/1,20,1,1,0,0,0,0,0,14,0,2,10,0,80,1,4,1,2
21/1,21,1,2,0,0,0,0,1,191,0,5,8,0,83,1,5,2,2
22/1,22,1,2,0,0,0,0,1,347,0,6,10,0,89,1,5,2,2
23/1,23,1,2,0,0,0,0,1,191,0,5,13,1,90,1,5,2,3
24/1,24,1,2,0,0,0,0,1,137,0,5,13,0,90,1,5,2,2
25/1,25,1,2,0,0,0,0,1,161,0,6,10,0,87,1,5,2,2
26/1,26,1,2,0,0,0,0,0,191,0,4,10,0,85,1,5,1,2
27/1,27,1,1,0,0,0,0,0,22,0,2,10,0,81,1,4,1,2
28/1,28,1,2,0,0,0,0,1,167,0,5,11,0,90,1,5,2,2
29/1,29,1,2,0,0,0,0,1,119,0,5,11,0,90,1,5,2,2
30/1,30,1,2,0,0,0,0,1,136,0,5,10,1,97,1,5,2,3
31/1,31,1,2,0,0,0,0,1,149,0,5,13,1,96,1,5,2,3
1/2,1,2,2,0,0,0,0,1,150,0,6,11,1,74,1,5,2,2
2/2,2,2,1,0,0,0,0,0,9,0,2,8,0,71,1,4,1,2
3/2,3,2,1,0,0,0,0,0,8,0,2,6,0,81,1,4,1,2
4/2,4,2,2,0,0,0,0,1,156,0,5,7,0,77,1,5,2,2
5/2,5,2,2,0,1,0,0,1,248,0,5,9,0,84,2,5,2,2
6/2,6,2,2,0,1,0,0,1,158,0,6,9,0,93,2,5,2,3
7/2,7,2,2,0,1,0,0,1,178,0,5,10,0,94,2,5,2,2
8/2,8,2,2,0,1,0,0,1,199,0,6,10,0,92,2,5,2,2
9/2,9,2,2,0,1,0,0,0,17,0,3,12,0,90,2,4,1,2
10/2,10,2,2,0,1,0,0,0,52,0,2,12,0,88,2,5,1,2
11/2,11,2,2,0,1,0,0,1,158,0,5,8,0,82,2,5,2,2
12/2,12,2,2,0,0,0,1,1,185,0,5,11,0,69,2,5,2,1
13/2,13,2,2,0,0,0,0,1,156,0,5,12,0,59,1,5,2,1
14/2,14,2,2,0,1,0,0,1,270,0,7,14,0,57,2,5,2,1
15/2,15,2,2,0,0,0,0,1,180,0,6,14,0,59,1,5,2,1
16/2,16,2,1,0,1,0,0,0,15,0,3,12,0,69,2,4,1,1
17/2,17,2,1,0,0,0,0,0,11,0,2,12,0,79,1,4,1,2
18/2,18,2,2,0,0,0,0,1,146,0,5,10,0,87,1,5,2,2
19/2,19,2,2,0,0,0,0,1,196,0,6,7,0,83,1,5,2,2
20/2,20,2,2,0,0,0,1,1,149,0,4,9,0,77,2,5,2,2
21/2,21,2,2,0,0,0,1,1,128,0,5,13,0,75,2,5,2,2
22/2,22,2,2,0,0,0,1,1,244,0,6,15,0,59,2,5,2,2
23/2,23,2,1,0,0,0,1,0,13,0,2,14,0,66,2,4,1,1
24/2,24,2,2,0,0,0,1,0,13,0,2,16,0,59,2,4,1,2
25/2,25,2,2,0,1,0,1,1,158,0,5,16,0,59,2,5,2,2
26/2,26,2,2,0,1,0,1,1,139,0,5,15,0,55,2,5,2,2
27/2,27,2,2,0,0,0,1,1,153,0,5,13,0,74,2,5,2,2
28/2,28,2,2,0,0,0,1,1,208,0,6,10,0,91,2,5,2,2
1/3,1,3,2,0,0,0,1,1,141,0,6,11,1,94,2,5,2,3
2/3,2,3,2,0,0,0,1,0,11,0,3,12,0,90,2,4,1,2
3/3,3,3,2,0,0,0,1,0,12,0,2,12,0,88,2,4,1,2
4/3,4,3,2,0,0,0,1,1,69,0,6,11,1,76,2,5,2,2
5/3,5,3,0,0,0,0,1,0,0,1,2,11,0,85,2,1,1,2
28/3,28,3,0,0,0,0,1,0,0,1,2,14,1,88,2,1,1,2
29/3,29,3,2,1,0,0,1,2,169,0,13,13,1,84,2,5,4,2
30/3,30,3,2,0,0,0,1,0,48,0,2,14,0,65,2,5,1,1
31/3,31,3,2,0,0,0,1,0,15,0,1,15,0,62,2,4,1,2
1/4,1,4,2,0,0,0,1,0,78,0,4,13,0,76,2,5,1,2
2/4,2,4,2,0,0,0,1,1,176,0,6,12,0,83,2,5,2,2
3/4,3,4,2,0,0,0,1,0,50,0,2,7,0,81,2,5,1,2
10/4,10,4,2,1,0,0,1,1,96,0,7,12,0,83,2,5,2,2
11/4,11,4,2,0,0,0,2,1,174,0,5,11,0,86,2,5,2,2
12/4,12,4,2,0,0,0,2,1,141,0,6,12,0,86,2,5,2,2
13/4,13,4,2,0,0,0,2,0,41,0,3,12,0,91,2,5,1,2
14/4,14,4,2,0,0,0,2,0,40,0,2,15,0,98,2,5,1,3
